date	followers	following	medias
2019-01-05 00:42:00	0	20	2
2019-01-05 01:42:01	0	20	2
2019-01-05 02:42:02	0	20	3
2019-01-05 03:42:02	0	20	3
2019-01-05 04:42:03	0	20	3
2019-01-05 05:42:03	0	20	3
2019-01-05 06:42:03	0	20	4
2019-01-05 07:42:03	0	20	4
2019-01-05 08:42:04	0	20	4
2019-01-05 09:42:04	0	21	4
2019-01-05 10:42:04	0	21	5
2019-01-05 11:42:05	0	21	5
2019-01-05 12:42:06	2	70	5
2019-01-05 13:42:06	2	70	5
2019-01-05 14:42:07	2	70	6
2019-01-05 15:42:07	3	70	6
2019-01-05 16:42:07	2	70	6
2019-01-05 17:42:08	2	70	6
2019-01-05 18:42:08	2	70	6
2019-01-05 19:42:09	3	70	6
2019-01-05 20:42:10	3	70	6
2019-01-05 21:42:10	3	70	7
2019-01-05 22:42:10	3	70	7
2019-01-05 23:42:11	3	70	7
2019-01-06 00:42:11	3	85	7
2019-01-06 01:42:11	3	36	8
2019-01-06 02:42:12	3	36	8
2019-01-06 03:42:13	3	36	8
2019-01-06 04:42:13	3	36	8
2019-01-06 05:42:13	3	36	8
2019-01-06 06:42:14	3	36	8
2019-01-06 07:42:15	3	36	8
2019-01-06 08:42:15	3	36	8
2019-01-06 09:42:16	5	36	9
2019-01-06 10:42:16	5	36	9
2019-01-06 11:42:17	5	37	9
2019-01-06 12:42:17	7	62	9
2019-01-06 13:42:18	7	62	9
2019-01-06 14:42:18	7	62	9
2019-01-06 15:42:18	7	62	10
2019-01-06 16:42:19	7	62	10
2019-01-06 17:42:19	7	62	10
2019-01-06 18:42:19	7	62	10
2019-01-06 19:42:20	7	62	10
2019-01-06 20:42:21	7	62	10
2019-01-06 21:42:22	7	62	10
2019-01-06 22:42:23	7	62	10
2019-01-06 23:42:23	7	63	10
2019-01-07 00:42:24	8	86	10
2019-01-07 01:42:24	8	37	10
2019-01-07 02:42:24	8	40	10
2019-01-07 03:42:25	8	40	10
2019-01-07 04:42:26	8	40	10
2019-01-07 05:42:26	8	40	10
2019-01-07 06:42:27	8	40	10
2019-01-07 07:42:27	8	40	10
2019-01-07 08:42:27	8	40	10
2019-01-07 09:42:27	9	40	10
2019-01-07 10:42:28	9	40	10
2019-01-07 11:42:29	9	41	10
2019-01-07 12:42:29	9	58	10
2019-01-07 13:42:30	9	58	10
2019-01-07 14:42:31	9	58	10
2019-01-07 15:42:32	9	58	10
2019-01-07 16:42:32	9	58	10
2019-01-07 17:42:33	9	58	10
2019-01-07 18:42:33	9	58	10
2019-01-07 19:42:34	9	58	10
2019-01-07 20:42:34	9	58	10
2019-01-07 23:00:39	9	58	10
2019-01-08 01:01:18	465	130	17
2019-01-08 05:04:27	1101	174	177
2019-01-10 03:24:40	15	61	10
2019-01-10 04:24:40	16	62	10
2019-01-10 05:24:41	17	62	10
2019-01-10 06:24:41	18	62	10
2019-01-10 07:24:41	18	62	10
2019-01-10 08:24:42	18	62	10
2019-01-10 09:24:42	18	62	10
2019-01-10 10:24:43	18	59	10
2019-01-10 11:24:43	18	15	10
2019-01-10 12:24:43	18	15	10
2019-01-10 13:24:44	18	15	10
2019-01-10 14:24:45	18	15	10
